Ref;Val;Package;PosX;PosY;Rot;Side
C4;27uF;C_0805_2012Metric;158.877;-96.3445;90;top
C5;0.01u;C_0805_2012Metric;171.704;-109.22;270;top
C6;10u;C_0805_2012Metric;174.117;-108.3795;270;top
F1;50mA;Fuse_1206_3216Metric;137.541;-104.391;90;top
Q1;Q_NMOS_SGD;SO-8_3.9x4.9mm_P1.27mm;181.483;-104.648;0;top
Q2;Q_PMOS_SDG;SO-8_3.9x4.9mm_P1.27mm;179.324;-110.236;0;top
R3;10k;R_1206_3216Metric;164.084;-111.128;90;top
R4;10k;R_1206_3216Metric;164.084;-106.423;90;top
R5;650;R_1206_3216Metric;160.785;-101.6;180;top
R6;2k;R_1206_3216Metric;172.463;-100.711;0;top
R7;20k;R_1206_3216Metric;174.117;-104.27;270;top
R8;10k;R_1206_3216Metric;176.53;-104.27;90;top
R9;10k;R_1206_3216Metric;184.531;-110.617;270;top
U1;LR8K4-G;TO-252-2;113.411;-92.456;0;top
U3;LM741;SOIC-8_3.9x4.9mm_P1.27mm;160.02;-109.093;270;top
U4;LM555;SOIC-8_3.9x4.9mm_P1.27mm;169.164;-104.648;0;top
