Ref;Val;Package;PosX;PosY;Rot;Side
C2;10u;CAPAE1700X1700N;286.804;-175.609;0;top
C3;10u;C_0805_2012Metric;256.794;-164.6705;90;top
C4;4.7u;C_0805_2012Metric;103.96728;-95.38462;270;top
C5;10u;C_0805_2012Metric;94.47022;-94.64826;90;top
C6;100n;C_0805_2012Metric;96.62136;-41.38168;0;top
C7;10n;C_0805_2012Metric;96.63152;-43.31716;0;top
C8;100n;C_0805_2012Metric;132.73786;-97.98558;90;top
C9;10n;C_0805_2012Metric;134.74954;-97.98328;90;top
C10;100n;C_0805_2012Metric;92.4179;-144.68094;180;top
C11;100n;C_0805_2012Metric;92.41282;-154.78252;0;top
C12;100n;C_0805_2012Metric;185.48858;-189.90564;180;top
C13;100n;C_0805_2012Metric;158.88716;-151.653;270;top
C14;100n;C_0805_2012Metric;104.71912;-80.05064;180;top
C15;100n;C_0805_2012Metric;189.6087;-86.74862;0;top
C16;100n;C_0805_2012Metric;183.69026;-69.41058;90;top
D1;STTH212S;D_SMC;251.46;-163.195;270;top
D2;STTH212S;D_SMC;280.924;-162.528;180;top
D3;LED;D_0805_2012Metric;182.9943;-55.0291;270;top
D4;LED;D_0805_2012Metric;176.9999;-55.02656;270;top
D5;D;D_SMC;185.57748;-81.8515;180;top
D6;D;D_SMC;185.58002;-74.9173;180;top
D7;LED;D_0805_2012Metric;188.66104;-55.01386;270;top
D8;DIODE;D_SOD-323;105.95864;-95.39986;90;top
F7;Fuse;Fuse_1206_3216Metric;129.4287;-66.82486;0;top
L2;10u;L_1210_3225Metric;95.888;-98.4885;180;top
Q1;Q_NMOS_GDS;TO-252-2;188.335;-65.54332;90;top
Q2;Q_NMOS_GDS;TO-252-2;184.18048;-90.94978;270;top
Q3;Q_NMOS_GDS;TO-252-2;191.10452;-194.48272;0;top
Q4;Q_NMOS_GDS;TO-252-2;163.55822;-145.90776;90;top
Q5;Q_NMOS_GDS;SOT-223-3_TabPin2;129.86512;-192.11798;90;top
Q6;Q_NMOS_GDS;TO-252-2;103.3907;-86.81974;270;top
Q7;Q_NMOS_GDS;TO-252-2;96.2787;-159.36722;0;top
Q8;Q_NMOS_GDS;TO-252-2;96.27362;-149.26564;0;top
Q10;Q_NMOS_GDS;SOT-223-3_TabPin2;127.35306;-129.80924;90;top
Q11;Q_NMOS_GDS;SOT-223-3_TabPin2;123.68022;-120.93234;90;top
Q12;Q_NMOS_GDS;SOT-223-3_TabPin2;116.33962;-118.44782;90;top
Q13;Q_NMOS_GDS;SOT-223-3_TabPin2;108.9914;-112.02924;90;top
Q14;Q_NMOS_GDS;SOT-223-3_TabPin2;115.13312;-172.79874;90;top
Q15;Q_NMOS_GDS;SOT-223-3_TabPin2;122.51182;-170.50512;90;top
Q16;Q_NMOS_GDS;SOT-223-3_TabPin2;129.82956;-165.22192;90;top
Q17;Q_NMOS_GDS;SOT-223-3_TabPin2;116.3447;-109.50448;90;top
Q18;Q_NMOS_GDS;SOT-223-3_TabPin2;107.7341;-175.5521;90;top
Q19;Q_NMOS_GDS;SOT-223-3_TabPin2;115.12042;-181.74208;90;top
Q20;Q_NMOS_GDS;SOT-223-3_TabPin2;122.54484;-184.57164;90;top
Q21;Q_NMOS_GDS;SOT-223-3_TabPin2;123.68276;-106.9467;90;top
R1;10k;R_1206_3216Metric;342.14562;-61.9125;180;top
R2;10k;R_1206_3216Metric;342.14608;-53.73878;180;top
R3;2k;R_1206_3216Metric;216.53546;-69.9389;180;top
R4;2k;R_1206_3216Metric;210.58678;-69.94906;180;top
R5;2k;R_1206_3216Metric;222.53194;-69.93636;0;top
R7;10k;R_1206_3216Metric;186.07786;-199.25792;180;top
R8;NC;R_1206_3216Metric;98.13798;-194.02044;0;top
R9;10k;R_1206_3216Metric;95.11538;-217.50828;270;top
R10;NC;R_1206_3216Metric;98.08672;-183.73344;180;top
R11;10k;R_1206_3216Metric;168.34866;-151.05334;270;top
R12;NC;R_1206_3216Metric;98.07148;-181.34838;180;top
R13;10k;R_1206_3216Metric;105.21396;-211.02828;0;top
R14;2k;R_1206_3216Metric;110.6424;-95.03156;270;top
R15;10k;R_1206_3216Metric;89.3826;-146.01698;90;top
R16;120;R_1206_3216Metric;88.52154;-215.60028;180;top
R17;10k;R_1206_3216Metric;131.10926;-186.43346;180;top
R18;10k;R_1206_3216Metric;132.17144;-124.37064;270;top
R19;10k;R_1206_3216Metric;131.01528;-120.38076;180;top
R20;10k;R_1206_3216Metric;129.69702;-117.85092;180;top
R21;10k;R_1206_3216Metric;125.55982;-115.28552;180;top
R22;10k;R_1206_3216Metric;128.58196;-176.2379;180;top
R23;10k;R_1206_3216Metric;129.66146;-173.68012;180;top
R24;10k;R_1206_3216Metric;131.1178;-171.05376;180;top
R25;10k;R_1206_3216Metric;129.6767;-112.76838;180;top
R26;10k;R_1206_3216Metric;126.70836;-178.8033;180;top
R27;10k;R_1206_3216Metric;128.61244;-181.31282;180;top
R28;10k;R_1206_3216Metric;129.68524;-183.84774;180;top
R29;10k;R_1206_3216Metric;131.01528;-110.2233;180;top
R30;10k;R_1206_3216Metric;89.37498;-155.705;90;top
R32;10k;R_1206_3216Metric;185.02168;-187.65012;180;top
R33;10k;R_1206_3216Metric;156.5275;-152.1206;270;top
R35;10k;R_1206_3216Metric;190.20836;-88.90508;0;top
R36;10k;R_1206_3216Metric;181.45506;-68.81068;90;top
R37;10k;R_1206_3216Metric;127.57404;-198.9074;270;top
R38;10k;R_1206_3216Metric;104.24922;-77.80274;180;top
R39;10k;R_1206_3216Metric;121.39422;-127.73614;270;top
R40;10k;R_1206_3216Metric;114.0333;-125.26518;270;top
R41;10k;R_1206_3216Metric;104.09936;-113.77976;90;top
R42;10k;R_1206_3216Metric;110.22838;-168.72504;90;top
R43;10k;R_1206_3216Metric;117.70614;-165.92504;90;top
R44;10k;R_1206_3216Metric;124.96038;-163.11118;90;top
R45;10k;R_1206_3216Metric;111.4933;-105.21488;90;top
R46;10k;R_1206_3216Metric;102.90048;-177.27122;90;top
R47;10k;R_1206_3216Metric;112.8141;-188.67166;270;top
R48;10k;R_1206_3216Metric;120.23852;-191.45204;270;top
R49;10k;R_1206_3216Metric;118.81866;-102.6444;90;top
RV1;TS53YJ501MR10;Potentiometer_Vishay_TS53YJ_Vertical;210.72348;-198.73214;0;top
U9;LM3670MF;TSOT-23-5;100.711;-96.50476;180;top
