Ref;Val;Package;PosX;PosY;Rot;Side
C1;100n;C_0805_2012Metric;372.618;-212.979;90;top
C2;1u;C_0805_2012Metric;414.4795;-215.0595;180;top
C3;100n;C_0805_2012Metric;414.4795;-212.725;0;top
C4;1u;C_0805_2012Metric;407.6215;-204.978;0;top
C5;1u;C_0805_2012Metric;407.6215;-207.01;0;top
C6;100n;C_0805_2012Metric;365.252;-213.0275;90;top
C7;100n;C_0805_2012Metric;121.13538;-214.1601;0;top
C8;100n;C_0805_2012Metric;117.76202;-208.32802;270;top
C9;100n;C_0805_2012Metric;395.351;-212.5195;270;top
C10;100n;C_0805_2012Metric;128.5598;-190.39332;0;top
C11;100n;C_0805_2012Metric;121.27508;-218.60002;0;top
C12;100n;C_0805_2012Metric;138.542;-218.07424;180;top
C13;100n;C_0805_2012Metric;137.7038;-190.64732;0;top
C14;10n;C_0805_2012Metric;508;-227.6325;90;top
C15;10n;C_0805_2012Metric;480.695;-239.0625;270;top
C16;10n;C_0805_2012Metric;411.099;-239.1895;270;top
C17;10n;C_0805_2012Metric;341.376;-239.1895;270;top
C18;10n;C_0805_2012Metric;272.034;-239.1895;270;top
C19;10n;C_0805_2012Metric;202.311;-239.1895;270;top
C20;10n;C_0805_2012Metric;154.79522;-178.86402;90;top
C21;10n;C_0805_2012Metric;202.692;-189.3085;270;top
C22;10n;C_0805_2012Metric;272.161;-189.3085;90;top
C23;10n;C_0805_2012Metric;341.884;-189.3085;90;top
C24;10n;C_0805_2012Metric;411.48;-189.3085;90;top
C25;10n;C_0805_2012Metric;480.568;-189.3085;90;top
D1;DIODE;D_1206_3216Metric;121.7198;-216.34958;180;top
F1;Fuse;Fuse_1206_3216Metric;508;-219.834;270;top
F2;Fuse;Fuse_1206_3216Metric;469.395;-239.903;0;top
F3;Fuse;Fuse_1206_3216Metric;399.799;-239.903;0;top
F4;Fuse;Fuse_1206_3216Metric;330.203;-239.903;0;top
F5;Fuse;Fuse_1206_3216Metric;260.607;-239.903;0;top
F6;Fuse;Fuse_1206_3216Metric;191.011;-239.903;0;top
F7;Fuse;Fuse_1206_3216Metric;150.8252;-187.36864;90;top
F8;Fuse;Fuse_1206_3216Metric;191.005;-188.595;0;top
F9;Fuse;Fuse_1206_3216Metric;260.607;-188.595;0;top
F10;Fuse;Fuse_1206_3216Metric;330.203;-188.595;0;top
F11;Fuse;Fuse_1206_3216Metric;399.799;-188.595;0;top
F12;Fuse;Fuse_1206_3216Metric;469.395;-188.595;0;top
F13;Fuse;Fuse_1206_3216Metric;154.62758;-249.17954;90;top
IC1;LTC6820IMS#PBF;SOP50P490X110-16N;369.189;-213.106;90;top
IC2;LTC6804-2;SOP50P780X200-48N;403.352;-213.106;90;top
Q1;Q_NPN_BCE;SOT-223;420.878;-212.725;0;top
Q2;Q_PMOS_GSD;SOT-23;504.809;-225.806;180;top
Q3;Q_PMOS_GSD;SOT-23;475.549;-236.871;90;top
Q4;Q_PMOS_GSD;SOT-23;405.892;-236.728;90;top
Q5;Q_PMOS_GSD;SOT-23;336.362;-236.744;90;top
Q6;Q_PMOS_GSD;SOT-23;266.634;-236.744;90;top
Q7;Q_PMOS_GSD;SOT-23;197.104;-236.728;90;top
Q8;Q_PMOS_GSD;SOT-23;149.84222;-181.50586;270;top
Q9;Q_PMOS_GSD;SOT-23;197.546;-191.627;270;top
Q10;Q_PMOS_GSD;SOT-23;267.081;-191.77;270;top
Q11;Q_PMOS_GSD;SOT-23;336.738;-191.627;270;top
Q12;Q_PMOS_GSD;SOT-23;406.334;-191.627;270;top
Q13;Q_PMOS_GSD;SOT-23;475.488;-191.643;270;top
R1;680;R_1206_3216Metric;171.79498;-191.41694;180;top
R2;680;R_1206_3216Metric;217.17;-183.769;270;top
R3;680;R_1206_3216Metric;302.517;-178.181;0;top
R4;680;R_1206_3216Metric;357.632;-183.766;270;top
R5;680;R_1206_3216Metric;427.228;-183.766;270;top
R6;680;R_1206_3216Metric;496.951;-183.766;270;top
R7;680;R_1206_3216Metric;497.078;-244.853;270;top
R8;680;R_1206_3216Metric;427.228;-244.859;270;top
R9;680;R_1206_3216Metric;357.632;-244.859;270;top
R10;680;R_1206_3216Metric;302.517;-250.19;180;top
R11;680;R_1206_3216Metric;218.44;-244.859;270;top
R12;NC;R_0805_2012Metric;261.747;-218.5185;90;top
R13;5k;R_0805_2012Metric;367.2355;-217.297;0;top
R14;100;R_0805_2012Metric;426.466;-210.82;90;top
R15;100;R_0805_2012Metric;378.206;-212.979;90;top
R16;1k21;R_0805_2012Metric;399.9715;-206.883;180;top
R17;860;R_0805_2012Metric;400.0015;-204.724;0;top
R18;100;R_0805_2012Metric;390.398;-213.3115;90;top
R19;10k;R_0805_2012Metric;117.4242;-198.69428;270;top
R20;1k21;R_0805_2012Metric;366.8545;-208.788;0;top
R21;860;R_0805_2012Metric;368.7295;-206.756;0;top
R22;100;R_0805_2012Metric;396.0645;-218.821;0;top
R23;100;R_0805_2012Metric;395.351;-216.1055;270;top
R24;3k3;R_0805_2012Metric;504.8735;-228.727;180;top
R25;100;R_0805_2012Metric;508;-224.0765;270;top
R26;33;R_0805_2012Metric;505.587;-222.1715;270;top
R27;3k3;R_0805_2012Metric;478.536;-236.9335;90;top
R28;100;R_0805_2012Metric;473.6315;-239.903;0;top
R29;33;R_0805_2012Metric;471.7265;-237.617;0;top
R30;3k3;R_0805_2012Metric;408.813;-236.8065;90;top
R31;100;R_0805_2012Metric;404.0355;-239.903;0;top
R32;33;R_0805_2012Metric;402.1305;-237.49;0;top
R33;3k3;R_0805_2012Metric;339.217;-236.6795;90;top
R34;100;R_0805_2012Metric;334.4395;-239.903;0;top
R35;33;R_0805_2012Metric;332.5345;-237.49;0;top
R36;3k3;R_0805_2012Metric;269.621;-236.8065;90;top
R37;100;R_0805_2012Metric;264.8435;-239.903;0;top
R38;33;R_0805_2012Metric;262.9385;-237.49;0;top
R39;3k3;R_0805_2012Metric;200.152;-236.6795;90;top
R40;100;R_0805_2012Metric;195.3745;-239.903;0;top
R41;33;R_0805_2012Metric;193.3425;-237.49;0;top
R42;3k3;R_0805_2012Metric;152.76322;-181.45736;270;top
R43;100;R_0805_2012Metric;149.76626;-177.91938;0;top
R44;33;R_0805_2012Metric;148.5265;-185.03138;90;top
R45;3k3;R_0805_2012Metric;200.533;-191.643;270;top
R46;100;R_0805_2012Metric;195.2475;-188.595;0;top
R47;33;R_0805_2012Metric;193.3425;-190.881;0;top
R48;3k3;R_0805_2012Metric;270.002;-191.7215;270;top
R49;100;R_0805_2012Metric;264.8435;-188.595;0;top
R50;33;R_0805_2012Metric;262.9685;-191.008;0;top
R51;3k3;R_0805_2012Metric;339.725;-191.6915;270;top
R52;100;R_0805_2012Metric;334.4395;-188.595;0;top
R53;33;R_0805_2012Metric;332.5345;-190.881;0;top
R54;3k3;R_0805_2012Metric;409.321;-191.643;270;top
R55;100;R_0805_2012Metric;404.0355;-188.595;0;top
R56;33;R_0805_2012Metric;402.1305;-190.881;0;top
R57;3k3;R_0805_2012Metric;478.409;-191.5945;270;top
R58;100;R_0805_2012Metric;473.6615;-188.595;0;top
R59;33;R_0805_2012Metric;471.7265;-190.881;0;top
R60;680;R_1206_3216Metric;171.75018;-237.00232;180;top
T1;PE-68386NL;Pulse_PA2001NL;384.2695;-213.233;0;top
U2;MCP2551-I-SN;SOIC-8_3.9x4.9mm_P1.27mm;121.2342;-200.23478;90;top
U3;OKI-78SR-3.3_1.5-W36-C;SOT-223;123.47702;-209.51952;0;top
U4;ISO1050DUB;SOP-8_6.62x9.15mm_P2.54mm;132.1943;-196.61632;0;top
