Ref;Val;Package;PosX;PosY;Rot;Side
C1;10n;C_0805_2012Metric;100.711;-87.3275;270;top
C2;1u;C_0805_2012Metric;103.505;-87.3275;270;top
C3;0.1u;C_0805_2012Metric;105.537;-87.3275;270;top
C4;0.1u;C_0805_2012Metric;125.0165;-77.343;180;top
C5;0.1u;C_0805_2012Metric;104.8235;-84.201;180;top
C6;0.1u;C_0805_2012Metric;122.047;-87.7085;270;top
C7;1u;C_0805_2012Metric;124.079;-87.7085;270;top
D1;DIODE;D_0805_2012Metric;118.6965;-81.915;180;top
D2;DIODE;D_0805_2012Metric;104.8235;-82.042;0;top
IC1;AMC1211AQDWVRQ1;SOIC127P1150X280-8N;113.919;-86.36;0;top
R1;3M;R_1206_3216Metric;98.298;-72.895;270;top
R2;3M;R_1206_3216Metric;98.298;-77.721;270;top
R3;3M;R_1206_3216Metric;98.298;-82.547;270;top
R4;59k;R_1206_3216Metric;98.298;-87.373;270;top
